dato;stop_name;tid;faktisk_tid;avstand;min_tid;ko_min_km;Forsinkelser
16.10.2025;Blakstad hageby;Morgen;7,8;3,2;4,6;1;0,62
17.10.2025;Blakstad hageby;Morgen;6,6;3,2;4,6;0,62;0,86
20.10.2025;Blakstad hageby;Morgen;8,4;3,2;4,6;1,2;0,03
21.10.2025;Blakstad hageby;Morgen;9,4;3,2;4,6;1,49;0,7
22.10.2025;Blakstad hageby;Morgen;8,7;3,2;4,6;1,27;0,94
23.10.2025;Blakstad hageby;Morgen;8,8;3,2;4,6;1,31;0,94
24.10.2025;Blakstad hageby;Morgen;8,2;3,2;4,6;1,13;0,48
27.10.2025;Blakstad hageby;Morgen;9,5;3,2;4,6;1,54;0,9
28.10.2025;Blakstad hageby;Morgen;8,4;3,2;4,6;1,21;0,83
29.10.2025;Blakstad hageby;Morgen;7,4;3,2;4,6;0,87;0,11
30.10.2025;Blakstad hageby;Morgen;7,2;3,2;4,6;0,8;0,42
31.10.2025;Blakstad hageby;Morgen;6,9;3,2;4,6;0,72;0,45
26.11.2025;Blakstad hageby;Morgen;4,9;3,2;4,6;0,09;0,58
27.11.2025;Blakstad hageby;Morgen;9,5;3,2;4,6;1,52;0,55
28.11.2025;Blakstad hageby;Morgen;7,1;3,2;4,6;0,77;0,54
01.12.2025;Blakstad hageby;Morgen;7,8;3,2;4,6;1,01;0,74
02.12.2025;Blakstad hageby;Morgen;9,4;3,2;4,6;1,51;0,4
03.12.2025;Blakstad hageby;Morgen;9,1;3,2;4,6;1,39;0,54
16.10.2025;BŒtst¿;Morgen;8,9;8,7;8,3;0,07;0,58
17.10.2025;BŒtst¿;Morgen;10,5;8,7;8,3;0,25;0,36
20.10.2025;BŒtst¿;Morgen;10,6;8,7;8,3;0,26;0,29
21.10.2025;BŒtst¿;Morgen;10,5;8,7;8,3;0,26;0,9
22.10.2025;BŒtst¿;Morgen;10,5;8,7;8,3;0,25;0,71
23.10.2025;BŒtst¿;Morgen;10,3;8,7;8,3;0,23;0
24.10.2025;BŒtst¿;Morgen;10,5;8,7;8,3;0,26;0,94
27.10.2025;BŒtst¿;Morgen;10,4;8,7;8,3;0,24;0,56
28.10.2025;BŒtst¿;Morgen;10,6;8,7;8,3;0,27;0,12
29.10.2025;BŒtst¿;Morgen;10,5;8,7;8,3;0,25;0,91
