delomrade_fra;delomrade_til;kvartal;time_of_day;weekday_indicator;reiser;co2_tonn
Billingstad;Blakstad;2019-3;05:30-08:30;Weekday;2,1897059103864858;1,0506933347426077
Billingstad;Blakstad;2019-3;08:30-13:30;Weekday;7,661833451661455;2,9168489950838015
Billingstad;Blakstad;2019-3;13:30-16:30;Weekday;8,877543574649145;3,362042595825667
Billingstad;Blakstad;2019-3;16:30-20:00;Weekday;3,4386134279643934;1,2627877561553282
Billingstad;Blakstad;2019-3;20:00-05:30;Weekday;2,693739886647372;1,2000544495915078
Billingstad;Blakstad;2019-3;Weekend;Weekend;4,161290933024691;1,8698666209737678
Billingstad;Blakstad;2019-4;05:30-08:30;Weekday;2,1168553738771454;0,9433104631792594
Billingstad;Blakstad;2019-4;08:30-13:30;Weekday;5,723828673921023;2,5561119838103425
Billingstad;Blakstad;2019-4;13:30-16:30;Weekday;8,42308155502121;3,2785888392456264
Billingstad;Blakstad;2019-4;16:30-20:00;Weekday;3,4244728502387036;1,3092134175637251
Billingstad;Blakstad;2019-4;20:00-05:30;Weekday;2,0760429714370723;0,973586709710203
Billingstad;Blakstad;2019-4;Weekend;Weekend;4,124688916795364;1,8128131145554938
Billingstad;Blakstad;2020-1;05:30-08:30;Weekday;3,1136059465050905;1,1751897017869055
Billingstad;Blakstad;2020-1;08:30-13:30;Weekday;5,938634130640818;2,006527229377162
Billingstad;Blakstad;2020-1;13:30-16:30;Weekday;7,9043002146562;2,694637765239388
Billingstad;Blakstad;2020-1;16:30-20:00;Weekday;3,10233161702468;1,0428360336315503
Billingstad;Blakstad;2020-1;20:00-05:30;Weekday;1,706860867449696;0,7515016746564352
Billingstad;Blakstad;2020-1;Weekend;Weekend;3,7284666453936826;1,4095136224182867
Billingstad;Blakstad;2020-2;05:30-08:30;Weekday;3,006575149712928;1,592996020623351
Billingstad;Blakstad;2020-2;08:30-13:30;Weekday;5,9109112315148975;2,7204565633069113
Billingstad;Blakstad;2020-2;13:30-16:30;Weekday;6,02968470324392;2,65119376894033
Billingstad;Blakstad;2020-2;16:30-20:00;Weekday;3,9803693201902535;1,6354157881306581
Billingstad;Blakstad;2020-2;20:00-05:30;Weekday;2,140715267383965;1,0248297977078598
Billingstad;Blakstad;2020-2;Weekend;Weekend;3,2095614305195044;1,433275023246093
Billingstad;Blakstad;2020-3;05:30-08:30;Weekday;2,5514238797457023;1,1082446827625685
Billingstad;Blakstad;2020-3;08:30-13:30;Weekday;6,91773824507371;2,5292130479046437
Billingstad;Blakstad;2020-3;13:30-16:30;Weekday;8,142697797824018;3,0859674234345724
Billingstad;Blakstad;2020-3;16:30-20:00;Weekday;3,931663081519856;1,5563223354769544
Billingstad;Blakstad;2020-3;20:00-05:30;Weekday;2,0026215909039693;1,1182891239300952
Billingstad;Blakstad;2020-3;Weekend;Weekend;3,9106571202138625;1,6015401575690904
Billingstad;Blakstad;2020-4;05:30-08:30;Weekday;2,8011884515665058;1,1048163420782289
Billingstad;Blakstad;2020-4;08:30-13:30;Weekday;9,3288038772416;3,442461427951018
Billingstad;Blakstad;2020-4;13:30-16:30;Weekday;9,902947562994388;3,262441089257041
Billingstad;Blakstad;2020-4;16:30-20:00;Weekday;3,626718787106073;1,3641323714343279
Billingstad;Blakstad;2020-4;20:00-05:30;Weekday;2,11027556940515;1,0165558629814717
Billingstad;Blakstad;2020-4;Weekend;Weekend;4,444184090611965;1,6717548692916342
Billingstad;Blakstad;2021-1;05:30-08:30;Weekday;3,492609109921668;1,347979210626396
Billingstad;Blakstad;2021-1;08:30-13:30;Weekday;10,39961158470043;3,6883974805335407
Billingstad;Blakstad;2021-1;13:30-16:30;Weekday;8,311394392167605;2,958056513905468
Billingstad;Blakstad;2021-1;16:30-20:00;Weekday;3,2161312117746608;1,113573318462741
Billingstad;Blakstad;2021-1;20:00-05:30;Weekday;1,8262474471333205;0,8971078276239598
Billingstad;Blakstad;2021-1;Weekend;Weekend;3,6405929399046872;1,3639786278031896
Billingstad;Blakstad;2021-2;05:30-08:30;Weekday;3,4789577441794877;1,5107799036034797
Billingstad;Blakstad;2021-2;08:30-13:30;Weekday;8,127778481231175;3,299559852584069
Billingstad;Blakstad;2021-2;13:30-16:30;Weekday;8,401791073655664;3,1035045983825156
Billingstad;Blakstad;2021-2;16:30-20:00;Weekday;3,3750626207308;1,2426727596759464
Billingstad;Blakstad;2021-2;20:00-05:30;Weekday;2,6158917719372945;1,132114605610316
