id;kvartal;bil;buss;sykkel;gange;tog
Fra Asker sentrum ettermiddag;2019-3;1050930,1585177737;320846,94414237834;148511,0278352456;251803,05519797854;0,0
Fra Asker sentrum ettermiddag;2019-4;1081825,9239596617;365999,4092194335;157965,36024143067;272029,6445303212;0,0
Fra Asker sentrum ettermiddag;2020-1;919436,0917835631;343209,5656640675;153069,4377597335;262620,48903783766;65783,65310429838
Fra Asker sentrum ettermiddag;2020-2;896719,7492934129;189744,19780539986;123461,53429392815;204972,01545975538;57634,30025705817
Fra Asker sentrum ettermiddag;2020-3;886404,8530558996;233046,53552944967;124593,88058147364;215786,60520020238;55455,38083629818
Fra Asker sentrum ettermiddag;2020-4;930660,9874652612;271475,8690642596;136957,77830049116;235219,21862785466;73447,86646173458
Fra Asker sentrum ettermiddag;2021-1;838461,0188199684;283289,6808999015;120369,28904748526;217761,74831219742;93017,50293802246
Fra Asker sentrum ettermiddag;2021-2;1090032,98783135;311477,9192107742;147049,1401835496;227807,03359992141;94237,78928059094
Fra Asker sentrum ettermiddag;2021-3;1132711,367494311;324748,74917489215;144243,62388911188;241671,4556819526;99047,6769014881
Fra Asker sentrum ettermiddag;2021-4;1194571,5915158316;392791,39020098915;155130,09934797083;261836,53403348022;97618,10841157043
Fra Asker sentrum ettermiddag;2022-1;1057141,0528520714;362181,1082233423;137727,55453025806;234513,7814602603;100560,41264938533
Fra Asker sentrum ettermiddag;2022-2;1028138,1707891491;343896,3602621922;143989,28095505698;228615,44865940872;93400,82574464468
Fra Asker sentrum ettermiddag;2022-3;707740,6849281365;275191,1283956948;115969,80599469632;190935,06300176223;83355,25609810033
Fra Asker sentrum ettermiddag;2022-4;650520,7628666967;335179,75121616456;114970,68532951931;199118,0580059693;83068,09842869319
Fra Asker sentrum ettermiddag;2023-1;934656,1878773585;551423,8252993546;182846,64284344378;303957,15449679893;361631,7822440687
Fra Asker sentrum ettermiddag;2023-2;1144336,768954711;521184,1891261077;406649,4724474264;317178,29795775283;412451,7903600381
Fra Asker sentrum ettermiddag;2023-3;1067272,4337613895;451524,9181471847;192212,0774678378;297625,8570344287;434064,79322806204
Fra Asker sentrum ettermiddag;2023-4;1062062,4161932075;564836,3659856725;212561,02712364358;333266,0099532892;401611,37786239426
Fra Asker sentrum ettermiddag;2024-1;1024015,2619606442;504699,3068578551;204793,81574954174;325276,4150514609;405646,93214866717
Fra Asker sentrum ettermiddag;2024-2;1180125,2835296127;513595,49815149605;220724,57746158808;354300,40867314325;440311,7577979119
Fra Asker sentrum ettermiddag;2024-3;1108619,2702214038;438444,6042630084;188251,72721050732;294176,8489029751;464403,8533558617
Fra Asker sentrum ettermiddag;2024-4;1144385,5066469337;505027,67268885375;201751,1240345837;338595,44849296944;442654,938953941
Fra Asker sentrum ettermiddag;2025-1;1195615,7440109646;534783,6902737624;188409,3326734191;326622,1886109431;435313,3681887141
Fra Asker sentrum ettermiddag;2025-2;1181784,6778277305;512932,7167989943;187276,58403615863;317754,81021273404;452601,37789877347
Fra Asker sentrum ettermiddag;2025-3;1111307,3784945572;449631,10791874136;164629,14536173816;272171,12107118196;513340,9078807639
Fra Asker sentrum ettermiddag;2025-4;1151388,6970572865;486681,2164873854;181917,46167868449;311858,3132140915;473281,4532516969
Fra Asker sentrum ettermiddag;2026-1;1100611,5080505563;478745,31345018145;171674,2423253226;299866,19338515366;445718,39551282267
Gjennomfart Asker Syd-Nord E18;2019-3;869258,003307608;315777,9720991155;39091,11048329921;33425,197908765316;0,0
Gjennomfart Asker Syd-Nord E18;2019-4;890846,109475604;364769,7124326993;42087,25905035959;38067,585008199596;0,0
Gjennomfart Asker Syd-Nord E18;2020-1;764727,7242554433;326715,13282334374;38046,944939958266;37823,39376487036;102019,43839526056
Gjennomfart Asker Syd-Nord E18;2020-2;989555,1622392187;204622,12555655208;38283,69172333948;37014,11739200691;117763,37558637682
Gjennomfart Asker Syd-Nord E18;2020-3;998305,8827609923;290446,740290956;37293,63526113618;33424,40865298708;99611,21502157085
Gjennomfart Asker Syd-Nord E18;2020-4;994360,4715996283;314160,63901189587;40710,77243691059;37483,552650001264;104174,5853369417
Gjennomfart Asker Syd-Nord E18;2021-1;889232,2593202248;304469,59874484886;36209,35876007543;34960,56950042518;115153,05064557059
Gjennomfart Asker Syd-Nord E18;2021-2;954304,9205957302;233983,55978071137;36464,35404325267;33928,350061888734;89370,73532886429
Gjennomfart Asker Syd-Nord E18;2021-3;904145,3257659798;206464,34922172176;35996,52584442565;33317,52604294379;92758,84400517544
Gjennomfart Asker Syd-Nord E18;2021-4;959535,1325438463;278928,4143445385;38119,67496527115;37273,331804590474;107388,84187875656
